shop_name,owner_name,email,password,verification_status,status
A2 Barbershop,Adi Tuka,owner.a2barbershop000@pangkaskaka.id,A2Barbershop@123,approved,created
Aboni Barbershop,Budi Bere,owner.abonibarbershop001@pangkaskaka.id,AboniBarbershop@123,approved,created
ACF Barbershop,Cindra Riwu,owner.acfbarbershop002@pangkaskaka.id,ACFBarbershop@123,approved,created
Aidens Barbershop,Deni Manafe,owner.aidensbarbershop003@pangkaskaka.id,AidensBarbershop@123,approved,created
Amran Barbershop,Eko Ero,owner.amranbarbershop004@pangkaskaka.id,AmranBarbershop@123,approved,created
Anasta Barbershop,Fandi Lele,owner.anastabarbershop005@pangkaskaka.id,AnastaBarbershop@123,approved,created
Angga Angelos (GB Barbershop),Gilbert Tefa,owner.anggaangelosgbbarbershop006@pangkaskaka.id,AnggaAngelosGBBa@123,approved,created
Atoin Meto Barbershop,Hendra Sabaria,owner.atoinmetobarbershop007@pangkaskaka.id,AtoinMetoBarbers@123,approved,created
B&W Barbershop,Indra Doko,owner.bwbarbershop008@pangkaskaka.id,BWBarbershop@123,approved,created
Bang Ji Barbershop,Jefri Halla,owner.bangjibarbershop009@pangkaskaka.id,BangJiBarbershop@123,approved,created
Barber Shop BNB,Kevin Lopez,owner.barbershopbnb010@pangkaskaka.id,BarberShopBNB@123,approved,created
Barbershop Dua Lontar,Lukas Dako,owner.barbershopdualontar011@pangkaskaka.id,BarbershopDuaLon@123,approved,created
Barbershop 46,Marcel Kolo,owner.barbershop46012@pangkaskaka.id,Barbershop46@123,approved,created
Barbershop AR46,Nando Suan,owner.barbershopar46013@pangkaskaka.id,BarbershopAR46@123,approved,created
Barbershop Barondang,Oscar Rihi,owner.barbershopbarondang014@pangkaskaka.id,BarbershopBarond@123,approved,created
Barbershop Bh41ra,Petrus Kase,owner.barbershopbh41ra015@pangkaskaka.id,BarbershopBh41ra@123,approved,created
Barbershop Champen,Rico Sakan,owner.barbershopchampen016@pangkaskaka.id,BarbershopChampe@123,approved,created
Barbershop Gimbo,Samuel Ndoen,owner.barbershopgimbo017@pangkaskaka.id,BarbershopGimbo@123,approved,created
Barbershop Kenan,Toni Bau,owner.barbershopkenan018@pangkaskaka.id,BarbershopKenan@123,approved,created
Barbershop Kumis Gang,Ucok Jaka,owner.barbershopkumisgang019@pangkaskaka.id,BarbershopKumisG@123,approved,created
Barbershop Lusi,Vincent Riu,owner.barbershoplusi020@pangkaskaka.id,BarbershopLusi@123,approved,created
Barbershop Mr. Breewok,Willy Zonge,owner.barbershopmrbreewok021@pangkaskaka.id,BarbershopMrBree@123,approved,created
Barbershop Pa De,Yohanes Lay,owner.barbershoppade022@pangkaskaka.id,BarbershopPaDe@123,approved,created
